"Tautība";"Vecuma grupa";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Lietuvieši";"40–44 gadi";2136;2089;2024;1942;1918;1779;1708;1659;1626;1548;1533;1484;1417;1412
"Lietuvieši";"45–49 gadi";2343;2245;2145;2102;2026;2010;1966;1898;1828;1806;1699;1643;1617;1586
"Lietuvieši";"50–54 gadi";2381;2358;2403;2313;2255;2178;2097;1994;1967;1920;1918;1903;1812;1761
"Lietuvieši";"55–59 gadi";1960;1932;1956;2060;2153;2178;2184;2231;2157;2103;2051;1988;1908;1893
"Lietuvieši";"60–64 gadi";1871;1881;1882;1820;1710;1705;1733;1772;1894;1976;2003;2023;2080;2042
"Lietuvieši";"65–69 gadi";2157;2000;1814;1670;1678;1663;1691;1694;1609;1523;1562;1592;1627;1723
"Lietuvieši";"70–74 gadi";1831;1875;1969;2021;1927;1840;1684;1536;1418;1467;1443;1467;1471;1403
"Lietuvieši";"75–79 gadi";1376;1362;1359;1382;1448;1483;1523;1587;1644;1576;1503;1353;1238;1173
"Lietuvieši";"80–84 gadi";766;780;838;860;902;939;957;953;941;1008;1037;1059;1117;1169
"Lietuvieši";"85 gadi un vairāk";456;481;504;542;548;566;564;620;695;707;742;729;723;754
"Poļi";"Pavisam";47201;45634;44457;43365;42466;41528;40583;39687;38821;37968;37203;36276;35446;34782
"Poļi";"0–4 gadi";581;500;468;544;633;723;785;794;705;613;535;452;428;391
"Poļi";"5–9 gadi";1302;1119;928;778;627;553;495;474;540;634;709;771;777;703
"Poļi";"10–14 gadi";1497;1510;1517;1461;1400;1226;1062;887;748;612;537;481;464;527
"Poļi";"15–19 gadi";2089;1825;1621;1523;1451;1423;1440;1445;1400;1344;1202;1050;887;763
"Poļi";"20–24 gadi";3184;2963;2702;2420;2108;1871;1655;1489;1407;1354;1346;1350;1355;1324
"Poļi";"25–29 gadi";3278;3097;3025;2823;2745;2640;2493;2304;2095;1828;1620;1457;1300;1249
"Poļi";"30–34 gadi";3079;2893;2838;2819;2787;2771;2707;2726;2589;2536;2463;2345;2162;1999
"Poļi";"35–39 gadi";3086;3061;2962;2916;2860;2747;2641;2631;2694;2653;2669;2655;2678;2551
"Poļi";"40–44 gadi";2989;2918;2897;2813;2828;2851;2870;2801;2754;2722;2642;2574;2568;2651
